,CustomerId,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited,Surname,CreditScore,Geography,Gender,Age,EstimatedSalary
0,15634602,0.0,1,Yes,2,Yes,1,Hargrave,619,France,Female,42.0,101348.88
1,15647311,83807.86,1,Yes,1,Yes,0,Hill,608,Spain,Female,41.0,112542.58
2,15619304,159660.8,3,No,8,No,1,Onio,502,France,Female,42.0,113931.57
3,15701354,0.0,2,No,1,No,0,Boni,699,France,Female,39.0,93826.63
4,15737888,125510.82,1,Yes,2,Yes,0,Mitchell,850,Spain,Female,43.0,79084.1
5,15574012,113755.78,2,No,8,No,1,Chu,645,Spain,Male,44.0,149756.71
6,15592531,0.0,2,Yes,7,Yes,0,Bartlett,822,France,Male,50.0,10062.8
7,15656148,115046.74,4,No,4,No,1,Obinna,376,Germany,Female,29.0,119346.88
8,15792365,142051.07,2,Yes,4,Yes,0,He,501,France,Male,44.0,74940.5
9,15592389,134603.88,1,Yes,2,Yes,0,H?,684,France,Male,27.0,71725.73
10,15767821,102016.72,2,No,6,No,0,Bearce,528,France,Male,31.0,80181.12
11,15737173,0.0,2,No,3,No,0,Andrews,497,Spain,Male,24.0,76390.01
12,15632264,0.0,2,No,10,No,0,Kay,476,France,Female,34.0,26260.98
13,15691483,0.0,2,No,5,No,0,Chin,549,France,Female,25.0,190857.79
14,15600882,0.0,2,Yes,7,Yes,0,Scott,635,Spain,Female,35.0,65951.65
15,15643966,143129.41,2,Yes,3,Yes,0,Goforth,616,Germany,Male,45.0,64327.26
16,15737452,132602.88,1,No,1,No,1,Romeo,653,Germany,Male,58.0,5097.67
17,15788218,0.0,2,Yes,9,Yes,0,Henderson,549,Spain,Female,24.0,14406.41
18,15661507,0.0,1,No,6,No,0,Muldrow,587,Spain,Male,45.0,158684.81
19,15568982,0.0,2,Yes,6,Yes,0,Hao,726,France,Female,24.0,54724.03
20,15577657,0.0,2,Yes,8,Yes,0,McDonald,732,France,Male,41.0,170886.17
21,15597945,0.0,2,No,8,No,0,Dellucci,636,Spain,Female,32.0,138555.46
22,15699309,0.0,1,No,4,No,1,Gerasimov,510,Spain,Female,38.0,118913.53
23,15725737,0.0,2,Yes,3,Yes,0,Mosman,669,France,Male,46.0,8487.75
24,15625047,0.0,1,Yes,5,Yes,0,Yen,846,France,Female,38.0,187616.16
25,15738191,0.0,2,Yes,3,Yes,0,Maclean,577,France,Male,25.0,124508.29
26,15736816,136815.64,1,Yes,2,Yes,0,Young,756,Germany,Male,36.0,170041.95
27,15700772,0.0,2,No,9,No,0,Nebechi,571,France,Male,44.0,38433.35
28,15728693,141349.43,1,Yes,3,Yes,0,MISSING,574,Germany,Female,37.0,-999999.0
29,15656300,59697.17,2,Yes,0,Yes,0,Lucciano,411,France,Male,29.0,53483.21
30,15589475,0.0,3,No,3,No,1,Azikiwe,591,Spain,Female,39.0,140469.38
31,15706552,85311.7,1,Yes,7,Yes,0,Odinakachukwu,533,France,Male,36.0,156731.91
32,15750181,110112.54,2,No,9,No,0,Sanderson,553,Germany,Male,41.0,81898.81
33,15659428,0.0,2,Yes,6,Yes,0,Maggard,520,Spain,Female,42.0,34410.55
34,15732963,0.0,2,Yes,9,Yes,0,Clements,722,Spain,Female,29.0,142033.07
35,15794171,134264.04,1,No,0,No,1,Lombardo,475,France,Female,45.0,27822.99
36,15788448,145260.23,1,Yes,3,Yes,0,Watson,490,Spain,Male,31.0,114066.77
37,15729599,76548.6,1,Yes,7,Yes,0,Lorenzo,804,Spain,Male,33.0,98453.45
38,15717426,0.0,1,Yes,7,Yes,0,Armstrong,850,France,Male,36.0,40812.9
39,15585768,70349.48,2,Yes,6,Yes,0,Cameron,582,Germany,Male,41.0,178074.04
40,15619360,0.0,1,No,4,No,0,Hsiao,472,Spain,Male,40.0,70154.22
41,15738148,122522.32,1,No,8,No,1,Clarke,465,France,Female,51.0,181297.65
42,15687946,117419.35,1,Yes,2,Yes,0,Osborne,556,France,Female,61.0,94153.83
43,15755196,131394.56,1,No,2,No,1,Lavine,834,France,Female,49.0,194365.76
44,15684171,155931.11,1,Yes,5,Yes,0,Bianchi,660,Spain,Female,61.0,158338.39
45,15754849,109421.13,2,Yes,4,Yes,0,Tyler,776,Germany,Female,32.0,126517.46
46,15602280,112045.67,1,Yes,9,Yes,1,Martin,829,Germany,Female,27.0,119708.21
47,15771573,137843.8,1,Yes,9,Yes,1,Okagbue,637,Germany,Female,39.0,117622.8
48,15766205,103391.38,1,Yes,2,Yes,0,Yin,550,Germany,Male,38.0,90878.13
49,15771873,103769.22,2,No,2,No,0,Buccho,776,Germany,Female,37.0,194099.12
50,15616550,116363.37,2,No,10,No,0,Chidiebele,698,Germany,Male,44.0,198059.16
51,15768193,146050.97,2,No,5,No,0,Trevisani,585,Germany,Male,36.0,86424.57
52,15683553,0.0,2,No,5,No,0,O'Brien,788,France,Female,33.0,116978.19
53,15702298,125561.97,1,No,8,No,1,Parkhill,655,Germany,Male,41.0,164040.94
54,15569590,98495.72,1,No,1,No,1,Yoo,601,Germany,Male,42.0,40014.76
55,15760861,125211.92,1,Yes,1,Yes,0,Phillipps,619,France,Male,43.0,113410.49
56,15630053,127864.4,1,No,5,No,0,Tsao,656,France,Male,45.0,87107.57
57,15647091,75888.2,1,No,0,No,0,Endrizzi,725,Germany,Male,19.0,45613.75
58,15623944,0.0,1,No,4,No,1,T'ien,511,Spain,Female,66.0,1643.11
59,15804771,40685.92,1,Yes,4,Yes,0,Velazquez,614,France,Male,51.0,46775.28
60,15651280,136857.0,1,No,5,No,0,Hunter,742,Germany,Male,35.0,84509.57
61,15773469,152328.88,2,No,9,No,0,Clark,687,Germany,Female,27.0,126494.82
62,15702014,56084.69,2,No,1,No,0,Jeffrey,555,Spain,Male,33.0,178798.13
63,15751208,78707.16,1,Yes,8,Yes,0,Pirozzi,684,Spain,Male,56.0,99398.36
64,15592461,109166.37,1,Yes,4,Yes,0,Jackson,603,Germany,Male,26.0,92840.67
65,15789484,169831.46,2,Yes,6,Yes,0,Hammond,751,Germany,Female,36.0,27758.36
66,15696061,101633.04,1,No,1,No,0,Brownless,581,Germany,Female,34.0,110431.51
67,15641582,123180.01,2,Yes,10,Yes,0,Chibugo,735,Germany,Male,43.0,196673.28
68,15638424,150725.53,2,Yes,5,Yes,0,Glauert,661,Germany,Female,35.0,113656.85
69,15755648,98373.26,1,No,8,No,0,Pisano,675,France,Female,21.0,18203.0
70,15703793,133745.44,4,No,2,No,1,Konovalova,738,Germany,Male,58.0,28373.86
71,15620344,0.0,1,No,6,No,0,McKee,813,France,Male,29.0,33953.87
72,15812518,163607.18,1,Yes,0,Yes,0,Palermo,657,Spain,Female,37.0,44203.55
73,15779052,157780.84,2,Yes,5,Yes,0,Ballard,604,Germany,Female,25.0,58426.81
74,15770811,0.0,2,Yes,9,Yes,0,Wallace,519,France,Male,36.0,145562.4
75,15780961,178718.19,2,No,1,No,0,Cavenagh,735,France,Female,21.0,22388.0
76,15614049,0.0,2,Yes,8,Yes,0,Hu,664,France,Male,55.0,139161.64
77,15662085,0.0,1,Yes,9,Yes,0,Read,678,France,Female,32.0,148210.64
